分组,常量名/数据项,当前值/地址规则,源码表达式,读取类型/布局,用途/读取基准,当前使用状态,源码文件,源码行,更新后值/是否未变,新版本/验证说明
01 Game.dll 全局 RVA,CurrentChannelCountRva,0xD71CB4,0xD71CB4,uint32,频道总数；实际通过 CurrentChannelIndexRva + 4 的连续块读取，此常量名本身未被引用。,运行时连续块内实际读取,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,49,0xD71CB4 | 变更 -0x10,直接确认：旧 0xD71CC4 → 新 0xD71CB4。
01 Game.dll 全局 RVA,LocalEntityIdRva,0xD6CB08,0xD6CB08,uint16,本地 EntityId；当前目标 EntityId 在同地址 + 2，详见补充表。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,50,0xD6CB08 | 变更 -0x10,直接确认：旧 0xD6CB18 → 新 0xD6CB08。
01 Game.dll 全局 RVA,LocalMaxHpRva,0xD71BB4,0xD71BB4,uint32,本地最大 HP；用于维护、死亡判断、回血阈值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,51,0xD71BB4 | 变更 -0x10,直接确认。
01 Game.dll 全局 RVA,LocalCurrentHpRva,0xD71BB8,0xD71BB8,uint32,本地当前 HP；用于维护、死亡判断、回血阈值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,52,0xD71BB8 | 变更 -0x10,直接确认。
01 Game.dll 全局 RVA,LocalMaxMpRva,0xD71BBC,0xD71BBC,uint32,本地最大 MP；用于回蓝维护和阈值判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,53,0xD71BBC | 变更 -0x10,直接确认。
01 Game.dll 全局 RVA,LocalCurrentMpRva,0xD71BC0,0xD71BC0,uint32,本地当前 MP；用于回蓝维护和阈值判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,54,0xD71BC0 | 变更 -0x10,直接确认。
01 Game.dll 全局 RVA,LocalCurrentDpRva,0xD71BC6,0xD71BC6,uint16,本地当前 DP；随玩家快照读出。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,55,0xD71BC6 | 变更 -0x10,直接对应引用可见：旧 0xD71BD6 → 新 0xD71BC6。
01 Game.dll 全局 RVA,CameraPitchRva,0xD65B74,0xD65B74,float32,普通镜头俯仰角；支持 AION_CAMERA_PITCH_RVA 覆盖。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,56,0xD65B74 | 变更 -0x10,直接确认。
01 Game.dll 全局 RVA,CameraRollRva,0xD65B78,0xD65B78,float32,普通镜头翻滚角；支持 AION_CAMERA_ROLL_RVA 覆盖。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,57,0xD65B78 | 变更 -0x10,直接对应引用可见：旧 0xD65B88 → 新 0xD65B78。
01 Game.dll 全局 RVA,CameraYawRva,0xD65B7C,0xD65B7C,float32,普通镜头水平朝向；支持 AION_CAMERA_YAW_RVA 覆盖。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,58,0xD65B7C | 变更 -0x10,直接确认。
01 Game.dll 全局 RVA,SpecialCameraModeRva,0xD6CC38,0xD6CC38,uint16,非零表示特殊镜头候选；没有设置任何镜头 RVA 覆盖时才切换到特殊镜头三轴。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,59,0xD6CC38 | 变更 -0x10,直接确认。
01 Game.dll 全局 RVA,SpecialCameraPitchRva,0xD6CC48,0xD6CC48,float32,特殊镜头俯仰角。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,60,0xD6CC48 | 变更 -0x10,与特殊镜头连续结构保持 +0x10。
01 Game.dll 全局 RVA,SpecialCameraRollRva,0xD6CC4C,0xD6CC4C,float32,特殊镜头翻滚角。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,61,0xD6CC4C | 变更 -0x10,直接/连续结构确认。
01 Game.dll 全局 RVA,SpecialCameraYawRva,0xD6CC50,0xD6CC50,float32,特殊镜头水平朝向。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,62,0xD6CC50 | 变更 -0x10,与特殊镜头连续结构保持 +0x18。
01 Game.dll 全局 RVA,SkillManagerGlobalRva,0xD4B010,0xD4B010,ptr64,技能管理器根指针；背包管理器使用同一根指针。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,63,0xD4B010 | 变更 -0x10,高置信直接确认：数百处对应引用从 0xD4B020 → 0xD4B010。
04 已学技能树,LearnedSkillTreeOffset,0x830,0x830,ptr64,已学技能 outer tree header；2026-07-22 版本由旧 `+0x828` 后移 8 字节。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,64,0x830 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
04 已学技能树,LearnedSkillOuterSkillIdOffset,0x20,0x20,uint32,已学技能 outer tree 的 skill id key。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,65,0x20 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
04 已学技能树,LearnedSkillOuterLevelTreeHeaderOffset,0x28,0x28,ptr64,指向该技能按等级分组的 inner tree。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,66,0x28 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
04 已学技能树,LearnedSkillOuterLevelTreeSizeOffset,0x30,0x30,uint64,inner tree 数量诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,67,0x30 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
04 已学技能树,LearnedSkillInnerLevelOffset,0x20,0x20,uint16,该技能已学习等级。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,68,0x20 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
04 已学技能树,LearnedSkillInnerItemListHeaderOffset,0x28,0x28,ptr64,当前等级下 runtime skill item 列表 header。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,69,0x28 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
04 已学技能树,LearnedSkillInnerItemListSizeOffset,0x30,0x30,uint64,skill item list 数量诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,70,0x30 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,NodeLeftOffset,0x0,0x00,ptr64,遍历 entity 树、server object 树、已学技能树。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,71,0x0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,NodeParentOffset,0x8,0x08,ptr64,获取树根起点、遍历下一个节点。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,72,0x8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,NodeRightOffset,0x10,0x10,ptr64,遍历 entity 树、server object 树、已学技能树。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,73,0x10 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,NodeIsNilOffset,0x19,0x19,uint8,判断红黑树空节点，停止遍历。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,74,0x19 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,NodeIdOffset,0x20,0x20,uint16,entity 树查找 key；技能树也复用同类布局。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,75,0x20 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,NodeEntityOffset,0x28,0x28,ptr64,entity 树 value，指向 `CEntity`。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,76,0x28 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,ListNodeNextOffset,0x0,0x00,ptr64,遍历队伍成员 `std::list`；从 head 的 next 开始前进。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,77,0x0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,ListNodePrevOffset,0x8,0x08,ptr64,从技能 item list header 取最后一个技能 item 节点。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,78,0x8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,ListNodeValueOffset,0x10,0x10,ptr64,从链表节点读取 `SkillItem*`。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,79,0x10 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntityTreeOffset,0x58,0x58,ptr64,EntitySystem 内的实体红黑树 header 指针。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,81,0x58 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntityTypeOffset,0x122,0x122,uint16,CEntity 实体类型；当前运行时用 3 过滤 NPC/怪物/宠物候选。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,82,0x122 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntityPositionFlagsOffset,0xF0,0xF0,uint32,CEntity 坐标来源标志；仅 DEBUG 地址探针读取。,仅 DEBUG 地址探针,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,83,0xF0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntityUseAlternatePositionFlag,0x400,0x400,掩码,历史备用坐标标志 0x400；本文件仅保留定义，没有读取分支引用。,仅保留定义，当前无引用,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,84,0x400 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
06 EntitySystem 与 CEntity,EntityWorldPositionOffset,0x4E4,0x4E4,float32[3],CEntity 世界坐标 X/Y/Z；玩家、目标、怪物、队友、宠物、寻路共享此读取链。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,85,0x4E4 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntityWorldAnglesOffset,0x518,0x518,float32 块,CEntity 世界角度块；代码只读取块内 + 8，即 CEntity + 0x520，作为角色 yaw。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,86,0x518 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntityLocalPositionOffset,0x524,0x524,float32[3],CEntity local/alternate 坐标；仅 DEBUG 探针诊断，寻路不使用此组坐标。,仅 DEBUG 地址探针,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,87,0x524 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntityPositionVfuncOffset,0x8,0x08,ptr64,CEntity 虚表中的位置 getter 槽位；仅 DEBUG 探针读取函数体，不调用函数。,仅 DEBUG 地址探针,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,88,0x8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntityProxyManagerVfuncOffset,0xB8,0xB8,ptr64,CEntity 虚表中的 proxy manager getter 槽位；读取函数体动态推导成员偏移。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,89,0xB8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntitySystemGetEntityVfuncOffset,0x30,0x30,ptr64,EntitySystem 虚表中的 GetEntity 槽位；仅 DEBUG 探针读取函数体。,仅 DEBUG 地址探针,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,90,0x30 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,ServerNodeServerObjectIdOffset,0x1C,0x1C,uint32,稳定对象身份；用于锁定目标、周围怪物、尸体、错误锁怪校验。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,92,0x1C | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
05 红黑树与链表节点,ServerNodeEntityIdOffset,0x20,0x20,uint16,把 server object 树节点映射回 entity 树里的 `CEntity`。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,93,0x20 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
06 EntitySystem 与 CEntity,EntityTypeNpc,3,3,枚举值,NPC/怪物 CEntity 类型值 3；世界对象、尸体及宠物扫描使用。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,94,3 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorEntityOffset,0x8,0x08,ptr64,Actor 指回 CEntity，解析 Actor 候选时必须匹配预期实体。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,96,0x8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorObjectTypeOffset,0x20,0x20,uint32,Actor 对象类型；玩家和采集物分别按 1、7 处理；候选有效范围为 1 到 32。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,97,0x20 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorPlayerObjectType,1,1,枚举值,Actor 对象类型 1 表示玩家，用于队友和采集竞争玩家识别。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,98,1 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorServerObjectIdOffset,0x2C,0x2C,uint32,actor server object id；用于目标身份和“怪物是否锁定我”的比较。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,99,0x2C | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorNpcTemplateIdOffset,0x30,0x30,uint32,NPC 模板 ID；采集物复用为 GatherSourceId，与静态采集资源表关联。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,100,0x30 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorStanceFlagsOffset,0x34,0x34,uint32,姿态 flags；当前客户端里低 4 位为 `5` 且 motion mode 为 `1` 时，判断为真实坐地板休息。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,101,0x34 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorLevelOffset,0x3E,0x3E,uint16,Actor 等级；采集物复用为显示等级。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,102,0x3E | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorHpPercentOffset,0x40,0x40,uint8,Actor HP 百分比；采集物复用同一原始字节为状态/剩余量信号，语义需单独核对。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,103,0x40 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorNameOffset,0x42,0x42,UTF-16，最多 64 字符,Actor 对象内的名字字符区；角色、怪物、尸体和采集物共用。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,104,0x42 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorSummonOwnerServerObjectIdOffset,0xFC,0xFC,uint32,召唤物 owner server object id；用于把已加载宝宝/召唤物归属到本地角色或队伍成员。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,105,0xFC | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorGatherInteractionRadiusOffset,0x168,0x168,float32,采集物交互半径，代码接受 0 到 100 的有限值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,106,0x168 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorGatherSpawnPositionOffset,0x19C,0x19C,float32[3],采集物出生位置；世界坐标不可用时，采集距离计算会使用此位置。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,107,0x19C | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorInteractionStateOffset,0x1CC,0x1CC,uint32,尸体交互状态；用于拾取诊断和尸体元数据。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,108,0x1CC | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorClassIdOffset,0x228,0x228,uint32,玩家职业 ID；本地角色与已加载队友读取。注意队伍记录的职业字段只有 1 字节。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,109,0x228 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorMotionModeOffset,0x2D0,0x2D0,uint32,动作模式；和 stance low nibble 一起判断坐地板维护状态。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,110,0x2D0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorTargetServerObjectIdOffset,0x358,0x358,uint32,actor 当前目标 server object id；用于判断怪物是否正在锁定本地角色。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,111,0x358 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorGatherSourceIdCandidateOffset,0x500,0x500,uint32,其他玩家正在采集的资源 ID 候选；作为原始竞争诊断字段，不应当作已确认资源 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,112,0x500 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorGatherActionStateOffset,0xAB0,0xAB0,uint32,其他玩家采集动作状态原始值；竞争识别。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,113,0xAB0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
07 Actor 角色、怪物、宠物与采集物,ActorGatherActionIdOffset,0xAB4,0xAB4,uint32,其他玩家采集动作 ID 原始值；竞争识别。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,114,0xAB4 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
01 Game.dll 全局 RVA,CurrentGatherSourceIdRva,0xD68CD8,0xD68CD8,uint32,本地当前采集资源 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,115,0xD68CD8 | 变更 -0x10,直接引用计数对应：旧 0xD68CE8 → 新 0xD68CD8。
01 Game.dll 全局 RVA,CurrentGatherTargetEntityRva,0xD68CE0,0xD68CE0,uint64 原始指针值,本地采集目标实体地址槽；当前代码只判断是否非零，不在此处解引用。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,116,0xD68CE0 | 变更 -0x10,由 Source/Target/Skill 连续 8 字节布局推导；建议实机非零采集时复核。
01 Game.dll 全局 RVA,CurrentGatherSkillIdRva,0xD68CE8,0xD68CE8,uint32,本地当前采集技能 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,117,0xD68CE8 | 变更 -0x10,直接确认：旧 0xD68CF8 → 新 0xD68CE8。
