分组,常量名/数据项,当前值/地址规则,源码表达式,读取类型/布局,用途/读取基准,当前使用状态,源码文件,源码行,更新后值/是否未变,新版本/验证说明
01 Game.dll 全局 RVA,CameraYawRva,0xD65B8C,0xD65B8C,float32,普通镜头水平朝向；支持 AION_CAMERA_YAW_RVA 覆盖。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,58,,
01 Game.dll 全局 RVA,SpecialCameraModeRva,0xD6CC48,0xD6CC48,uint16,非零表示特殊镜头候选；没有设置任何镜头 RVA 覆盖时才切换到特殊镜头三轴。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,59,,
01 Game.dll 全局 RVA,SpecialCameraPitchRva,0xD6CC58,0xD6CC58,float32,特殊镜头俯仰角。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,60,,
01 Game.dll 全局 RVA,SpecialCameraRollRva,0xD6CC5C,0xD6CC5C,float32,特殊镜头翻滚角。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,61,,
01 Game.dll 全局 RVA,SpecialCameraYawRva,0xD6CC60,0xD6CC60,float32,特殊镜头水平朝向。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,62,,
01 Game.dll 全局 RVA,SkillManagerGlobalRva,0xD4B020,0xD4B020,ptr64,技能管理器根指针；背包管理器使用同一根指针。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,63,,
04 已学技能树,LearnedSkillTreeOffset,0x830,0x830,ptr64,已学技能 outer tree header；2026-07-22 版本由旧 `+0x828` 后移 8 字节。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,64,,
04 已学技能树,LearnedSkillOuterSkillIdOffset,0x20,0x20,uint32,已学技能 outer tree 的 skill id key。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,65,,
04 已学技能树,LearnedSkillOuterLevelTreeHeaderOffset,0x28,0x28,ptr64,指向该技能按等级分组的 inner tree。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,66,,
04 已学技能树,LearnedSkillOuterLevelTreeSizeOffset,0x30,0x30,uint64,inner tree 数量诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,67,,
04 已学技能树,LearnedSkillInnerLevelOffset,0x20,0x20,uint16,该技能已学习等级。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,68,,
04 已学技能树,LearnedSkillInnerItemListHeaderOffset,0x28,0x28,ptr64,当前等级下 runtime skill item 列表 header。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,69,,
04 已学技能树,LearnedSkillInnerItemListSizeOffset,0x30,0x30,uint64,skill item list 数量诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,70,,
05 红黑树与链表节点,NodeLeftOffset,0x0,0x00,ptr64,遍历 entity 树、server object 树、已学技能树。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,71,,
05 红黑树与链表节点,NodeParentOffset,0x8,0x08,ptr64,获取树根起点、遍历下一个节点。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,72,,
05 红黑树与链表节点,NodeRightOffset,0x10,0x10,ptr64,遍历 entity 树、server object 树、已学技能树。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,73,,
05 红黑树与链表节点,NodeIsNilOffset,0x19,0x19,uint8,判断红黑树空节点，停止遍历。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,74,,
05 红黑树与链表节点,NodeIdOffset,0x20,0x20,uint16,entity 树查找 key；技能树也复用同类布局。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,75,,
05 红黑树与链表节点,NodeEntityOffset,0x28,0x28,ptr64,entity 树 value，指向 `CEntity`。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,76,,
05 红黑树与链表节点,ListNodeNextOffset,0x0,0x00,ptr64,遍历队伍成员 `std::list`；从 head 的 next 开始前进。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,77,,
05 红黑树与链表节点,ListNodePrevOffset,0x8,0x08,ptr64,从技能 item list header 取最后一个技能 item 节点。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,78,,
05 红黑树与链表节点,ListNodeValueOffset,0x10,0x10,ptr64,从链表节点读取 `SkillItem*`。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,79,,
06 EntitySystem 与 CEntity,EntityTreeOffset,0x58,0x58,ptr64,EntitySystem 内的实体红黑树 header 指针。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,81,,
06 EntitySystem 与 CEntity,EntityTypeOffset,0x122,0x122,uint16,CEntity 实体类型；当前运行时用 3 过滤 NPC/怪物/宠物候选。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,82,,
06 EntitySystem 与 CEntity,EntityPositionFlagsOffset,0xF0,0xF0,uint32,CEntity 坐标来源标志；仅 DEBUG 地址探针读取。,仅 DEBUG 地址探针,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,83,,
06 EntitySystem 与 CEntity,EntityUseAlternatePositionFlag,0x400,0x400,掩码,历史备用坐标标志 0x400；本文件仅保留定义，没有读取分支引用。,仅保留定义，当前无引用,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,84,,
06 EntitySystem 与 CEntity,EntityWorldPositionOffset,0x4E4,0x4E4,float32[3],CEntity 世界坐标 X/Y/Z；玩家、目标、怪物、队友、宠物、寻路共享此读取链。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,85,,
06 EntitySystem 与 CEntity,EntityWorldAnglesOffset,0x518,0x518,float32 块,CEntity 世界角度块；代码只读取块内 + 8，即 CEntity + 0x520，作为角色 yaw。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,86,,
06 EntitySystem 与 CEntity,EntityLocalPositionOffset,0x524,0x524,float32[3],CEntity local/alternate 坐标；仅 DEBUG 探针诊断，寻路不使用此组坐标。,仅 DEBUG 地址探针,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,87,,
06 EntitySystem 与 CEntity,EntityPositionVfuncOffset,0x8,0x08,ptr64,CEntity 虚表中的位置 getter 槽位；仅 DEBUG 探针读取函数体，不调用函数。,仅 DEBUG 地址探针,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,88,,
06 EntitySystem 与 CEntity,EntityProxyManagerVfuncOffset,0xB8,0xB8,ptr64,CEntity 虚表中的 proxy manager getter 槽位；读取函数体动态推导成员偏移。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,89,,
06 EntitySystem 与 CEntity,EntitySystemGetEntityVfuncOffset,0x30,0x30,ptr64,EntitySystem 虚表中的 GetEntity 槽位；仅 DEBUG 探针读取函数体。,仅 DEBUG 地址探针,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,90,,
05 红黑树与链表节点,ServerNodeServerObjectIdOffset,0x1C,0x1C,uint32,稳定对象身份；用于锁定目标、周围怪物、尸体、错误锁怪校验。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,92,,
05 红黑树与链表节点,ServerNodeEntityIdOffset,0x20,0x20,uint16,把 server object 树节点映射回 entity 树里的 `CEntity`。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,93,,
06 EntitySystem 与 CEntity,EntityTypeNpc,3,3,枚举值,NPC/怪物 CEntity 类型值 3；世界对象、尸体及宠物扫描使用。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,94,,
07 Actor 角色、怪物、宠物与采集物,ActorEntityOffset,0x8,0x08,ptr64,Actor 指回 CEntity，解析 Actor 候选时必须匹配预期实体。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,96,,
07 Actor 角色、怪物、宠物与采集物,ActorObjectTypeOffset,0x20,0x20,uint32,Actor 对象类型；玩家和采集物分别按 1、7 处理；候选有效范围为 1 到 32。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,97,,
07 Actor 角色、怪物、宠物与采集物,ActorPlayerObjectType,1,1,枚举值,Actor 对象类型 1 表示玩家，用于队友和采集竞争玩家识别。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,98,,
07 Actor 角色、怪物、宠物与采集物,ActorServerObjectIdOffset,0x2C,0x2C,uint32,actor server object id；用于目标身份和“怪物是否锁定我”的比较。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,99,,
07 Actor 角色、怪物、宠物与采集物,ActorNpcTemplateIdOffset,0x30,0x30,uint32,NPC 模板 ID；采集物复用为 GatherSourceId，与静态采集资源表关联。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,100,,
07 Actor 角色、怪物、宠物与采集物,ActorStanceFlagsOffset,0x34,0x34,uint32,姿态 flags；当前客户端里低 4 位为 `5` 且 motion mode 为 `1` 时，判断为真实坐地板休息。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,101,,
07 Actor 角色、怪物、宠物与采集物,ActorLevelOffset,0x3E,0x3E,uint16,Actor 等级；采集物复用为显示等级。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,102,,
07 Actor 角色、怪物、宠物与采集物,ActorHpPercentOffset,0x40,0x40,uint8,Actor HP 百分比；采集物复用同一原始字节为状态/剩余量信号，语义需单独核对。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,103,,
07 Actor 角色、怪物、宠物与采集物,ActorNameOffset,0x42,0x42,UTF-16，最多 64 字符,Actor 对象内的名字字符区；角色、怪物、尸体和采集物共用。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,104,,
07 Actor 角色、怪物、宠物与采集物,ActorSummonOwnerServerObjectIdOffset,0xFC,0xFC,uint32,召唤物 owner server object id；用于把已加载宝宝/召唤物归属到本地角色或队伍成员。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,105,,
07 Actor 角色、怪物、宠物与采集物,ActorGatherInteractionRadiusOffset,0x168,0x168,float32,采集物交互半径，代码接受 0 到 100 的有限值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,106,,
07 Actor 角色、怪物、宠物与采集物,ActorGatherSpawnPositionOffset,0x19C,0x19C,float32[3],采集物出生位置；世界坐标不可用时，采集距离计算会使用此位置。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,107,,
07 Actor 角色、怪物、宠物与采集物,ActorInteractionStateOffset,0x1CC,0x1CC,uint32,尸体交互状态；用于拾取诊断和尸体元数据。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,108,,
07 Actor 角色、怪物、宠物与采集物,ActorClassIdOffset,0x228,0x228,uint32,玩家职业 ID；本地角色与已加载队友读取。注意队伍记录的职业字段只有 1 字节。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,109,,
07 Actor 角色、怪物、宠物与采集物,ActorMotionModeOffset,0x2D0,0x2D0,uint32,动作模式；和 stance low nibble 一起判断坐地板维护状态。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,110,,
07 Actor 角色、怪物、宠物与采集物,ActorTargetServerObjectIdOffset,0x358,0x358,uint32,actor 当前目标 server object id；用于判断怪物是否正在锁定本地角色。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,111,,
07 Actor 角色、怪物、宠物与采集物,ActorGatherSourceIdCandidateOffset,0x500,0x500,uint32,其他玩家正在采集的资源 ID 候选；作为原始竞争诊断字段，不应当作已确认资源 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,112,,
07 Actor 角色、怪物、宠物与采集物,ActorGatherActionStateOffset,0xAB0,0xAB0,uint32,其他玩家采集动作状态原始值；竞争识别。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,113,,
07 Actor 角色、怪物、宠物与采集物,ActorGatherActionIdOffset,0xAB4,0xAB4,uint32,其他玩家采集动作 ID 原始值；竞争识别。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,114,,
01 Game.dll 全局 RVA,CurrentGatherSourceIdRva,0xD68CE8,0xD68CE8,uint32,本地当前采集资源 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,115,,
01 Game.dll 全局 RVA,CurrentGatherTargetEntityRva,0xD68CF0,0xD68CF0,uint64 原始指针值,本地采集目标实体地址槽；当前代码只判断是否非零，不在此处解引用。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,116,,
01 Game.dll 全局 RVA,CurrentGatherSkillIdRva,0xD68CF8,0xD68CF8,uint32,本地当前采集技能 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,117,,
01 Game.dll 全局 RVA,DlgGatheringPointerRva,0xD63E38,0xD63E38,uint64 原始指针值,采集窗口对象地址槽，允许为 0；非零后读取窗口 flags 和两条进度条。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,118,,
08 采集窗口与 Gauge,DlgGatheringFlagsOffset,0x28,0x28,uint64,采集窗口 flags，使用最低位判断可见。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,119,,
08 采集窗口与 Gauge,DlgGatheringVisibleMask,0x1,0x01,掩码,采集窗口可见位 0x01。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,120,,
08 采集窗口与 Gauge,DlgGatheringSuccessGaugeOffset,0x4E8,0x4E8,ptr64,DlgGathering 内成功进度条指针，须解引用后读取 Gauge 字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,121,,
08 采集窗口与 Gauge,DlgGatheringFailureGaugeOffset,0x500,0x500,ptr64,DlgGathering 内失败进度条指针，须解引用后读取 Gauge 字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,122,,
08 采集窗口与 Gauge,GatherGaugeMaximumOffset,0x300,0x300,float64,Gauge 最大值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,123,,
08 采集窗口与 Gauge,GatherGaugeDisplayedOffset,0x308,0x308,float64,Gauge 当前显示值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,124,,
08 采集窗口与 Gauge,GatherGaugeTargetOffset,0x310,0x310,float64,Gauge 目标值。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,125,,
07 Actor 角色、怪物、宠物与采集物,ActorCurrentSummonedPetServerObjectIdOffset,0xFA0,0xFA0,uint32,角色当前召唤宠物 ServerObjectId；定位本地宠物，随后通过实体树读取宠物状态。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,126,,
09 本地异常状态数组,ActorAbnormalStatusBeginOffset,0xF18,0xF18,ptr64，可空,本地 Actor 异常状态数组 begin；单条步长 0x12。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,127,,
09 本地异常状态数组,ActorAbnormalStatusEndOffset,0xF20,0xF20,ptr64，可空,本地 Actor 异常状态数组 end；以 (end - begin) / 0x12 计算条数。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,128,,
09 本地异常状态数组,ActorAbnormalCategory2CountOffset,0xF38,0xF38,uint32,异常状态 bucket 2 原始计数；不单独等同于有害/物理异常。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,129,,
07 Actor 角色、怪物、宠物与采集物,ActorMaxHpOffset,0x11A0,0x11A0,uint32,Actor 最大 HP；目标、怪物、尸体、宠物等共用。当前本地 HP 读取以全局 HP RVA 为必需字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,130,,
07 Actor 角色、怪物、宠物与采集物,ActorCurrentHpOffset,0x11A4,0x11A4,uint32,Actor 当前 HP；目标生死、战斗进展、怪物、尸体及宠物状态。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,131,,
07 Actor 角色、怪物、宠物与采集物,ActorLootableFlagOffset,0x11E0,0x11E0,uint32,尸体可拾取标记；用于优先拾取可拾取尸体。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,132,,
07 Actor 角色、怪物、宠物与采集物,ActorGatherObjectType,7,7,枚举值,Actor 对象类型 7 表示采集物。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,133,,
09 本地异常状态数组,AbnormalStatusEntrySize,0x12,0x12,字节步长,本地与队伍异常状态 entry 大小均为 0x12；entry 五个字段见补充表。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,134,,
09 本地异常状态数组,MaxActorAbnormalStatusEntries,512,512,读取上限,本地异常条数保护上限 512；这是程序限制，不是已经确认的游戏数组容量。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,135,,
10 PartyMemberRecord 队伍成员,PartyMemberPartySlotOffset,0x0,0x00,uint32,原始队伍字段候选；快照保留为 `PartySlot`，不能直接当 UI 槽位或 F2-F6 顺序。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,136,,
10 PartyMemberRecord 队伍成员,PartyMemberServerObjectIdOffset,0x4,0x04,uint32,队员 server object id；队员身份、队长/本地角色匹配、召唤物归属都依赖它。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,137,,
10 PartyMemberRecord 队伍成员,PartyMemberMaxHpOffset,0x8,0x08,uint32,队员最大 HP；用于队伍快照、保护目标选择、队友生死判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,138,,
10 PartyMemberRecord 队伍成员,PartyMemberCurrentHpOffset,0xC,0x0C,uint32,队员当前 HP；用于队友血量阈值、死亡判断和队长保护逻辑。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,139,,
10 PartyMemberRecord 队伍成员,PartyMemberMaxMpOffset,0x10,0x10,uint32,队员最大 MP；保留在队伍快照中。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,140,,
10 PartyMemberRecord 队伍成员,PartyMemberCurrentMpOffset,0x14,0x14,uint32,队员当前 MP；保留在队伍快照中。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,141,,
10 PartyMemberRecord 队伍成员,PartyMemberMaxFlightTimeOffset,0x18,0x18,uint32,队员最大飞行时间，毫秒；队伍状态诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,142,,
10 PartyMemberRecord 队伍成员,PartyMemberCurrentFlightTimeOffset,0x1C,0x1C,uint32,队员剩余飞行时间，毫秒；队伍状态诊断字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,143,,
10 PartyMemberRecord 队伍成员,PartyMemberAreaField0Offset,0x20,0x20,uint32,区域/指针类原始字段候选；当前只保留诊断，不作为地图判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,144,,
10 PartyMemberRecord 队伍成员,PartyMemberAreaField1Offset,0x24,0x24,uint32,区域/指针类原始字段候选；当前只保留诊断，不作为地图判断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,145,,
10 PartyMemberRecord 队伍成员,PartyMemberCachedXOffset,0x28,0x28,float32,队员缓存坐标 X；队友不在 live actor 可见范围时作为诊断位置。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,146,,
10 PartyMemberRecord 队伍成员,PartyMemberCachedYOffset,0x2C,0x2C,float32,队员缓存坐标 Y。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,147,,
10 PartyMemberRecord 队伍成员,PartyMemberCachedZOffset,0x30,0x30,float32,队员缓存坐标 Z。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,148,,
10 PartyMemberRecord 队伍成员,PartyMemberClassIdOffset,0x34,0x34,uint8,队员职业 id；映射到 `AionClassId` 和职业名。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,149,,
10 PartyMemberRecord 队伍成员,PartyMemberLevelOffset,0x36,0x36,uint8,队员等级。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,150,,
10 PartyMemberRecord 队伍成员,PartyMemberDataFlagsOffset,0x37,0x37,uint8,队员数据 flags；用于诊断和 `HasAbnormalBlock`，不作为异常数组读取硬门槛。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,151,,
10 PartyMemberRecord 队伍成员,PartyMemberFlightAreaFlagOffset,0x38,0x38,uint8,可飞区域/飞行许可候选；保留在快照中。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,152,,
10 PartyMemberRecord 队伍成员,PartyMemberFlightFlagsOffset,0x39,0x39,uint8,飞行状态 flags 候选；保留在快照中。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,153,,
10 PartyMemberRecord 队伍成员,PartyMemberRuntimeStateOffset,0x3A,0x3A,uint8,运行时状态字段；含义未完全定型，保留诊断。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,154,,
